"","species","time_length","phenochange","min","max","names"
"460",20,30,-0.00659419354872725,-0.0923048055108184,0.0900673387033495,30.2
"461",21,30,-0.000662405846696714,-0.0758763288035382,0.102483624948643,30.21
"462",22,30,-0.00837819988324271,-0.094849472953169,0.0922618016691011,30.22
"463",23,30,-0.00770934589778992,-0.089807681598325,0.0912466676572144,30.23
"464",24,30,-0.00671988765821649,-0.0952081982835405,0.0915217912158422,30.24
"465",25,30,-0.0112291409112482,-0.0997167564539775,0.0814190866541279,30.25
"466",26,30,-0.00724901388110558,-0.0892550562478777,0.0873507406683231,30.26
"467",27,30,-0.0217394943273917,-0.12180778824808,0.0520452844407267,30.27
"468",28,30,-0.00959679488008194,-0.0937716595839211,0.0804673728597772,30.28
"469",29,30,-0.00872851539158544,-0.0913128499980087,0.0814517301689108,30.29
"443",3,30,-0.00234274498131426,-0.0820293343381132,0.100774153263485,30.3
"470",30,30,-0.0176769250105682,-0.113113109922211,0.0655497580952483,30.3
"471",31,30,-0.0121623938238185,-0.103873639510212,0.0820726312496737,30.31
"472",32,30,-0.00240454776055491,-0.0820472394786243,0.102746120822533,30.32
"473",33,30,-0.00144739005838512,-0.0762274978034045,0.0976982264462913,30.33
"474",34,30,-0.00919827941960471,-0.0961001291339305,0.085639474681864,30.34
"475",35,30,-0.0168940809674123,-0.110042663010875,0.0634309471375818,30.35
"476",36,30,-0.0139216559074883,-0.1059445284821,0.0748519977699245,30.36
"477",37,30,-0.010469689098401,-0.101023977126682,0.0842691558490997,30.37
"478",38,30,-0.0130973303265506,-0.0990632680006029,0.0742441801488981,30.38
"479",39,30,-0.0174643802551647,-0.112487571823775,0.064124120331467,30.39
"444",4,30,-0.0211946785861656,-0.123737761965826,0.0585714286693702,30.4
"480",40,30,-0.023963349580798,-0.131763505136852,0.0539249014453838,30.4
"481",41,30,-0.0077648140635062,-0.0959674954716307,0.0907888442102899,30.41
"482",42,30,-0.0123230120490395,-0.104364344385897,0.0767609904339008,30.42
"483",43,30,-0.0212575823394672,-0.122198917702171,0.0611907406888141,30.43
"484",44,30,-0.0192619731750959,-0.119648617662533,0.0639344655587683,30.44
"485",45,30,-0.0263591415052021,-0.128886989690205,0.0466008943219019,30.45
"486",46,30,-0.0288911182531964,-0.144676394443887,0.045954449585433,30.46
"487",47,30,0.00989317731046319,-0.0605090901235872,0.131148153409645,30.47
"488",48,30,-0.00679779832080111,-0.0890292454900977,0.0923729705642947,30.48
"489",49,30,-0.00387534670743469,-0.0797082941079798,0.0921165007346984,30.49
"445",5,30,-0.00755625759966645,-0.093182655425344,0.0902476226721097,30.5
"490",50,30,-0.00934497257976895,-0.0947141580913685,0.085520304755603,30.5
"491",51,30,-0.000423415491227826,-0.0782431309600393,0.106205288077495,30.51
"492",52,30,-0.0298753191228913,-0.149734096007442,0.0448847987627633,30.52
"493",53,30,-0.0149417605979723,-0.107159742790391,0.0720680068104514,30.53
"494",54,30,-0.0155296833768304,-0.105839697598957,0.0687672688768084,30.54
"495",55,30,-0.0163510122252194,-0.113920589153765,0.069374691591531,30.55
"496",56,30,-0.0190112268627162,-0.118163248985076,0.0608078155662139,30.56
"497",57,30,-0.00708479681085206,-0.0889136870566297,0.081607039264234,30.57
"498",58,30,-0.00999346385771678,-0.0946327237035195,0.0816144621959972,30.58
"499",59,30,-0.00441621013300171,-0.0858691033663761,0.0951500724114007,30.59
"446",6,30,-0.00730744397847339,-0.0918997399627149,0.0917871360131498,30.6
"500",60,30,-0.00658146623701434,-0.0887672888844116,0.0862068870514396,30.6
"501",61,30,-0.019660505820251,-0.117625969567377,0.0614383197661997,30.61
"502",62,30,-0.00166481105149856,-0.0784761017467218,0.0997310627768337,30.62
"503",63,30,-0.00176628289809089,-0.0789290340452795,0.10728470951318,30.63
"504",64,30,-0.00543408333503904,-0.0826268969405581,0.093040243442219,30.64
"505",65,30,-0.000177821756677887,-0.0729560398679607,0.0990732176282314,30.65
"506",66,30,-0.0174363667280942,-0.113114758378767,0.0661361938783043,30.66
"507",67,30,0.00639418641570547,-0.06477118698285,0.120291082135653,30.67
"508",68,30,-0.00968148304751885,-0.0913583363798388,0.0807466488381201,30.68
"509",69,30,-0.00972540898916823,-0.0960522291068498,0.082366872545984,30.69
"447",7,30,-0.0159440557647901,-0.109954520388245,0.0669805489794682,30.7
